canonical_id,family,family_group,title,aliases,lookup_aliases,evidence_class,confidence_level,reproducibility_status,earliest_reported_at,latest_reported_at,held_out_accuracy,logical_accuracy,macro_f1,final_ce_loss,intervention_effect_on_gold,resume_first_token_accuracy,english_fluency_score,contamination_rate,loop_rate,scratchpad_bleed_rate,surgery_trigger_rate,geometry_retention,final_answer_lift,symbolic_lift,artifact_count,doc_count,git_count,script_paths,dag_paths,artifact_roots,baseline_relation,derived_from,supersedes,notes
m.track.m3_15d.a,m_telemetry,m_track,M3.15d A,M3.15d.A|A,M3.15d.A,artifact,high,artifact_only,2026-03-11T20:36:09.932496+00:00,2026-03-11T20:36:09.932496+00:00,0.5,,,,0.0,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1|artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1/m3_15d_report.json,M3.15d cell,,,
m.track.m3_15d.b,m_telemetry,m_track,M3.15d B,M3.15d.B|B,M3.15d.B,artifact,high,artifact_only,2026-03-11T20:36:09.932496+00:00,2026-03-11T20:36:09.932496+00:00,0.5,,,,0.0,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1|artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1/m3_15d_report.json,M3.15d cell,,,
m.track.m3_15d.c,m_telemetry,m_track,M3.15d C,M3.15d.C|C,M3.15d.C,artifact,high,artifact_only,2026-03-11T20:36:09.932496+00:00,2026-03-11T20:36:09.932496+00:00,0.5,,,,0.0,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1|artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1/m3_15d_report.json,M3.15d cell,,,
m.track.m3_15d.d,m_telemetry,m_track,M3.15d D,M3.15d.D|D,M3.15d.D,artifact,high,artifact_only,2026-03-11T20:36:09.932496+00:00,2026-03-11T20:36:09.932496+00:00,0.5,,,,0.0,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1|artifacts/runs/telemetry/raw/ablation/hypercube/m3_15d_answer_path_forcing/bridge_base_v1/m3_15d_20260311_bridge_base_v1/m3_15d_report.json,M3.15d cell,,,
m.track.m3_16.a,m_telemetry,m_track,M3.16 A,M3.16.A|A,M3.16.A,artifact,high,artifact_only,2026-03-11T22:38:14.328170+00:00,2026-03-11T22:38:14.328170+00:00,0.5,,,,0.0,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small/m3_16_report.json,M3.16 cell,,,
m.track.m3_16.b,m_telemetry,m_track,M3.16 B,M3.16.B|B,M3.16.B,artifact,high,artifact_only,2026-03-11T22:38:14.328170+00:00,2026-03-11T22:38:14.328170+00:00,0.5,,,,0.0006799120455980301,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small/m3_16_report.json,M3.16 cell,,,
m.track.m3_16.c,m_telemetry,m_track,M3.16 C,M3.16.C|C,M3.16.C,artifact,high,artifact_only,2026-03-11T22:38:14.328170+00:00,2026-03-11T22:38:14.328170+00:00,0.5,,,,7.16131180524826e-05,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small/m3_16_report.json,M3.16 cell,,,
m.track.m3_16.d,m_telemetry,m_track,M3.16 D,M3.16.D|D,M3.16.D,artifact,high,artifact_only,2026-03-11T22:38:14.328170+00:00,2026-03-11T22:38:14.328170+00:00,0.5,,,,0.0001241527497768402,,,,,,,,,,1,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_16_continuous_graph_bias/bridge_base_v1_small/m3_16_20260311_bridge_base_v1_small/m3_16_report.json,M3.16 cell,,,
m.track.m3_17.a,m_telemetry,m_track,control no re-entry,M3.17.A|A,M3.17.A,artifact,high,artifact_only,2026-03-28T15:09:15.724965+00:00,2026-03-28T18:32:12.249033+00:00,0.5,,,,0.0,,,,,,,,,,2,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/m3_17_contract_smoke_20260328|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/m3_17_contract_smoke_20260328/m3_17_report.json|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/bridge_base_v1_small/m3_17_20260328_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/bridge_base_v1_small/m3_17_20260328_bridge_base_v1_small/m3_17_report.json,M3.17 cell,,,
m.track.m3_17.b,m_telemetry,m_track,single return-state bottleneck,M3.17.B|B,M3.17.B,artifact,high,artifact_only,2026-03-28T15:09:15.724965+00:00,2026-03-28T18:32:12.249033+00:00,0.5,,,,-12.486697733402252,,,,,,,,,,2,0,0,,,artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/m3_17_contract_smoke_20260328|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/m3_17_contract_smoke_20260328/m3_17_report.json|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/bridge_base_v1_small/m3_17_20260328_bridge_base_v1_small|artifacts/runs/telemetry/raw/ablation/hypercube/m3_17_advisor_reentry_bridge/bridge_base_v1_small/m3_17_20260328_bridge_base_v1_small/m3_17_report.json,M3.17 cell,,,
