rank,h53_token_id,slice1_anchor_token_id,cosine_similarity,slice1_usage_proxy,slice1_inbound_map_mass,h53_l2_delta_if_top_shifted,stability_score_proxy,stability_band,provisional_gloss
1,944,639,0.9510697722434998,0.0004913852899335325,0.1014999970793724,0.0,0.9755348861217499,high,ANCHOR_639
2,638,639,0.9508938789367676,0.0004913852899335325,0.1014999970793724,0.0,0.9754469394683838,high,ANCHOR_639
3,956,639,0.9508864283561707,0.0004913852899335325,0.1014999970793724,0.0,0.9754432141780853,high,ANCHOR_639
4,1822,639,0.9508625864982605,0.0004913852899335325,0.1014999970793724,0.0,0.9754312932491302,high,ANCHOR_639
5,1965,639,0.9508625864982605,0.0004913852899335325,0.1014999970793724,0.0,0.9754312932491302,high,ANCHOR_639
6,462,639,0.9508625268936157,0.0004913852899335325,0.1014999970793724,0.0,0.9754312634468079,high,ANCHOR_639
7,1419,639,0.9508076906204224,0.0004913852899335325,0.1014999970793724,0.0,0.9754038453102112,high,ANCHOR_639
8,130,639,0.9506401419639587,0.0004913852899335325,0.1014999970793724,0.0,0.9753200709819794,high,ANCHOR_639
9,325,639,0.950617253780365,0.0004913852899335325,0.1014999970793724,0.0,0.9753086268901825,high,ANCHOR_639
10,91,639,0.9506072998046875,0.0004913852899335325,0.1014999970793724,0.0,0.9753036499023438,high,ANCHOR_639
11,81,639,0.950552761554718,0.0004913852899335325,0.1014999970793724,0.0,0.975276380777359,high,ANCHOR_639
12,15,639,0.9505202770233154,0.0004913852899335325,0.1014999970793724,0.0,0.9752601385116577,high,ANCHOR_639
13,894,639,0.9504489302635193,0.0004913852899335325,0.1014999970793724,0.0,0.9752244651317596,high,ANCHOR_639
14,1588,639,0.9503292441368103,0.0004913852899335325,0.1014999970793724,0.0,0.9751646220684052,high,ANCHOR_639
15,679,639,0.9503240585327148,0.0004913852899335325,0.1014999970793724,0.0,0.9751620292663574,high,ANCHOR_639
16,878,639,0.9502491354942322,0.0004913852899335325,0.1014999970793724,0.0,0.9751245677471161,high,ANCHOR_639
17,413,639,0.9500313997268677,0.0004913852899335325,0.1014999970793724,0.0,0.9750156998634338,high,ANCHOR_639
18,568,639,0.9499731063842773,0.0004913852899335325,0.1014999970793724,0.0,0.9749865531921387,high,ANCHOR_639
19,241,639,0.9499729871749878,0.0004913852899335325,0.1014999970793724,0.0,0.9749864935874939,high,ANCHOR_639
20,1276,639,0.94988614320755,0.0004913852899335325,0.1014999970793724,0.0,0.974943071603775,high,ANCHOR_639
21,1599,639,0.9498860836029053,0.0004913852899335325,0.1014999970793724,0.0,0.9749430418014526,high,ANCHOR_639
22,1209,639,0.9496060013771057,0.0004913852899335325,0.1014999970793724,0.0,0.9748030006885529,high,ANCHOR_639
23,648,639,0.9495015740394592,0.0004913852899335325,0.1014999970793724,0.0,0.9747507870197296,high,ANCHOR_639
24,1340,639,0.9494768381118774,0.0004913852899335325,0.1014999970793724,0.0,0.9747384190559387,high,ANCHOR_639
25,885,639,0.9494747519493103,0.0004913852899335325,0.1014999970793724,0.0,0.9747373759746552,high,ANCHOR_639
26,696,639,0.949425220489502,0.0004913852899335325,0.1014999970793724,0.0,0.974712610244751,high,ANCHOR_639
27,569,639,0.9493997693061829,0.0004913852899335325,0.1014999970793724,0.0,0.9746998846530914,high,ANCHOR_639
28,1311,639,0.9493629336357117,0.0004913852899335325,0.1014999970793724,0.0,0.9746814668178558,high,ANCHOR_639
29,1927,639,0.9493517875671387,0.0004913852899335325,0.1014999970793724,0.0,0.9746758937835693,high,ANCHOR_639
30,1995,639,0.9493517875671387,0.0004913852899335325,0.1014999970793724,0.0,0.9746758937835693,high,ANCHOR_639
31,266,639,0.9492641687393188,0.0004913852899335325,0.1014999970793724,0.0,0.9746320843696594,high,ANCHOR_639
32,70,639,0.9492413401603699,0.0004913852899335325,0.1014999970793724,0.0,0.9746206700801849,high,ANCHOR_639
33,210,639,0.9491919279098511,0.0004913852899335325,0.1014999970793724,0.0,0.9745959639549255,high,ANCHOR_639
34,169,639,0.9491328001022339,0.0004913852899335325,0.1014999970793724,0.0,0.9745664000511169,high,ANCHOR_639
